Event Type,Percentage,Count
Alternative 3′ End,9.7165991902834,24
Alternative 5′ End,2.834008097165992,7
Alternative Exon,6.0728744939271255,15
Alternative Last Exon,80.16194331983806,198
Intron Retention,1.214574898785425,3
