Event Type,Percentage,Count
Alternative 3′ End,13.738441215323647,104
Alternative 5′ End,10.435931307793924,79
Alternative Exon,41.87582562747688,317
Alternative Last Exon,33.42140026420079,253
Intron Retention,0.5284015852047557,4
