Event Type,Percentage,Count
Alternative 3′ End,15.1643690349947,429
Alternative 5′ End,9.75609756097561,276
Alternative Exon,41.71085189112761,1180
Alternative Last Exon,30.858960763520678,873
Intron Retention,2.509720749381407,71
