	Alternative Exon	Alternative 5′ End	Alternative 3′ End	Intron Retention	Alternative Last Exon
Panel B	1.10403, 2.93383e-01	1.93914, 1.63762e-01	3.02362, 8.20599e-02	5.79281, 1.60919e-02	2.33628, 1.26391e-01
Panel C	0.00162, 9.67883e-01	0.23792, 6.25714e-01	0.85020, 3.56495e-01	10.50156, 1.19273e-03	1.70341, 1.91843e-01
