	Category	Odds Ratio	p-value
0	Alternative Exon	0.967032967032967	1.0
1	Alternative 3′ End	0.7	0.7500853285253659
2	Alternative Last Exon	0.6445182724252492	0.7178255944604857
3	Alternative 5′ End	0.38095238095238093	0.35536509257333054
4	Intron Retention	0.35	0.565789473684212
