	Category	Odds Ratio	p-value
0	Alternative Exon	0.524822695035461	0.05653688730581345
1	Intron Retention	0.3489736070381232	0.027140734272140962
2	Alternative 5′ End	0.5636363636363636	0.17293492770904045
3	Alternative 3′ End	0.5042016806722689	0.1410131406738206
4	Alternative Last Exon	1.0521013241220496	1.0
