Event Type,Percentage,Count
Alternative 3′ End,6.3072227873855535,62
Alternative 5′ End,5.188199389623601,51
Alternative Exon,8.341810783316378,82
Alternative Last Exon,75.27975584944049,740
Intron Retention,4.883011190233978,48
