Event Type,Percentage,Count
Alternative Exon,34.71933471933472,334
Intron Retention,0.9355509355509356,9
Alternative 5′ End,6.133056133056133,59
Alternative 3′ End,4.781704781704782,46
Alternative First Exon,37.83783783783784,364
Alternative Last Exon,15.592515592515593,150
