ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
ENSMUST00000066497-0_ENSMUSG00000051469,0.5528556712135175,0.3402142197844982,-0.2126414514290192,0.8249236899183825,0.4767104366471861,1.1107703002725346,0.1325,0.8675,ENSMUST00000066497-0,ENSMUSG00000051469,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.2776674267631334
ENSMUST00000066514_ENSMUSG00000031767,0.4095109035529465,0.4039875826860139,-0.0055233208669324,1.0071809080017164,0.670100017428575,1.2833353615616554,0.47,0.53,ENSMUST00000066514,ENSMUSG00000031767,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.010322840877765709
ENSMUST00000066532_ENSMUSG00000053846,7.206482413628049,0.3635924768526056,-6.842889936775444,0.0124053878286896,2.448055072719003e-09,0.0597783526520591,0.0,1.0,ENSMUST00000066532,ENSMUSG00000053846,0.0,1,1,1,0,0,0,10,0.0,1,0,2,0,1,1,0,0,0,0,10,0,2,-6.332889350974771
ENSMUST00000066560_ENSMUSG00000036395,0.3388417302635201,0.5479170793243355,0.2090753490608159,1.2555788812614006,0.892894998123361,1.79253623926156,0.8725,0.1275,ENSMUST00000066560,ENSMUSG00000036395,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32835266821896747
ENSMUST00000066568_ENSMUSG00000053870,0.3335416020162465,0.5469387793531287,0.213397177336882,1.2653807430731,0.8201514911544994,1.805166198907869,0.84,0.16,ENSMUST00000066568,ENSMUSG00000053870,0.0,3,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3395715457857422
ENSMUST00000066594_ENSMUSG00000053886,0.5622792298209947,0.3376628464508814,-0.2246163833701131,0.8149980093165631,0.5174074511562662,1.1368500607672725,0.105,0.895,ENSMUST00000066594,ENSMUSG00000053886,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.29513155941190466
ENSMUST00000066610-0_ENSMUSG00000048458,0.3353696296837964,0.530877405510116,0.1955077758263202,1.2417022692451545,0.7745621398534367,1.7877304800119322,0.8525,0.1475,ENSMUST00000066610-0,ENSMUSG00000048458,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31231929096939653
ENSMUST00000066640_ENSMUSG00000053916,0.9877325758537132,0.3073420864660626,-0.6803904893876517,0.5366287079395968,0.2421102219975774,0.9451009574743364,0.0175,0.9825,ENSMUST00000066640,ENSMUSG00000053916,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8980038586000786
ENSMUST00000066650_ENSMUSG00000032469,0.3364785093101084,0.5497744174351621,0.2132959081250534,1.2608496365847293,0.8552343031123762,1.7101335366580148,0.905,0.095,ENSMUST00000066650,ENSMUSG00000032469,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3343962364210864
ENSMUST00000066668-0_ENSMUSG00000026209,7.153128450502137,0.3598826011628107,-6.793245849339334,0.0073479039167018,4.38227701365209e-08,0.0336521483257654,0.0,1.0,ENSMUST00000066668-0,ENSMUSG00000026209,0.0,5,0,0,0,1,0,0,1.0,2,0,1,0,1,0,0,0,1,0,0,0,1,-7.088451523183447
