Event Type,Percentage,Count
Alternative Exon,2.7278775781769795,164
Intron Retention,4.1583499667332005,250
Alternative 5′ End,2.6114437791084497,157
Alternative 3′ End,16.51696606786427,993
Alternative First Exon,32.4018629407851,1948
Alternative Last Exon,41.583499667332,2500
