Event Type,Percentage,Count
Alternative Exon,33.33333333333333,1297
Intron Retention,2.7242354150603956,106
Alternative 5′ End,4.446157800051401,173
Alternative 3′ End,4.394757131842714,171
Alternative First Exon,40.99203289642765,1595
Alternative Last Exon,14.109483423284502,549
