ids,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,multi_trans,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change
98ef1904-e43a-41b5-bbde-240daa830ec2-0_ENSMUSG00000081604,0.9377815522814094,0.3040395868765093,-0.6337419654049008,0.5564486876534321,0.23568245124904,0.8546820149468034,0.01,0.99,98ef1904-e43a-41b5-bbde-240daa830ec2-0,ENSMUSG00000081604,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.8456794378341189
99170d3a-541b-4b85-8662-71eea90da1ef-0_ENSMUSG00000014301,0.41028709202874,0.4136769795788699,0.0033898875501294,1.0156161623570228,0.7341219011972614,1.3460369824278051,0.48,0.52,99170d3a-541b-4b85-8662-71eea90da1ef-0,ENSMUSG00000014301,0.0119988293824992,3,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.022355259104348664
99731492-fce3-41ee-be2f-728ab377a298-0_ENSMUSG00000035757,0.4770493227025044,3.349051917615279,2.8720025949127743,45.84803422664147,1.723235844149265,173.21601266350032,1.0,0.0,99731492-fce3-41ee-be2f-728ab377a298-0,ENSMUSG00000035757,0.0,1,0,0,1,1,0,0,0.0,1,0,1,0,1,0,0,1,0,0,0,0,1,5.518787973260076
99be1ae0-721d-4c81-95a5-7f2b22b26449-0_17:88768000,7.110307643864936,0.3706316909801803,-6.739675952884749,0.0097073438474178,2.1548891350851682e-07,0.0575365511734775,0.0,1.0,99be1ae0-721d-4c81-95a5-7f2b22b26449-0,17:88768000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.686707689571125
9a234fbf-d8fb-4585-89a4-c3d1c3ccc7a8-0_ENSMUSG00000101878,0.946282556574996,0.3016522515634135,-0.6446303050115829,0.5558452456765981,0.2073816876911671,0.8972160100351808,0.0125,0.9875,9a234fbf-d8fb-4585-89a4-c3d1c3ccc7a8-0,ENSMUSG00000101878,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8472448205207774
9a46beb9-3fb7-4a85-9a11-31d8099f5a09-0_ENSMUSG00000047215,0.6192504327071064,4.401543614140325,3.7822931814332152,163.21971373719884,2.088417556672968,664.1097827163111,1.0,0.0,9a46beb9-3fb7-4a85-9a11-31d8099f5a09-0,ENSMUSG00000047215,0.1790513833992094,6,0,0,0,1,0,0,0.0,1,0,2,3,1,0,0,0,1,0,0,0,2,7.350671506846837
9a5c1833-827e-44c1-821e-cd8ae3201cfe-0_19:41526000,0.412733525836858,0.4064424359612227,-0.0062910898756352,1.0060169410926756,0.6977072445196449,1.3238368499460234,0.51,0.49,9a5c1833-827e-44c1-821e-cd8ae3201cfe-0,19:41526000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008654599998907433
9ac0a547-3ec8-41bd-938f-5f44adf4e4c2-0_16:13417000,0.5561447177011977,0.3419667688062224,-0.2141779488949748,0.82104875975147,0.526400498473149,1.1170021309625808,0.1225,0.8775,9ac0a547-3ec8-41bd-938f-5f44adf4e4c2-0,16:13417000,0.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2844601927834404
9b6cdb9c-4724-4694-b12a-9845522d705d-0_ENSMUSG00000060419,7.086068091543002,0.3602100239574202,-6.725858067585583,0.0132549703744724,2.064961261310551e-08,0.0747673297512471,0.0,1.0,9b6cdb9c-4724-4694-b12a-9845522d705d-0,ENSMUSG00000060419,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.23732274406216
9b95020c-c755-4db6-8a01-7e1bf522a7ac-0_ENSMUSG00000099764,0.4069313857376617,0.4043015221979925,-0.0026298635396688,1.0142339593894611,0.6700560044743326,1.3963687791299395,0.5125,0.4875,9b95020c-c755-4db6-8a01-7e1bf522a7ac-0,ENSMUSG00000099764,0.0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.020390485790648685
