Event Type,Percentage,Count
Alternative Exon,2.9788798991278767,567
Intron Retention,2.963118629820322,564
Alternative 5′ End,2.616370705054114,498
Alternative 3′ End,15.892613218451194,3025
Alternative First Exon,32.52600609435747,6191
Alternative Last Exon,43.02301145318903,8189
