Event Type,Percentage,Count
Alternative Exon,24.702316518726995,1141
Intron Retention,1.79692574150249,83
Alternative 5′ End,2.662914050660316,123
Alternative 3′ End,2.771162589305044,128
Alternative First Exon,55.66139857111929,2571
Alternative Last Exon,12.405282528685863,573
