Event Type,Percentage,Count
Alternative Exon,3.275048570635582,118
Intron Retention,7.5492645018040525,272
Alternative 5′ End,2.9419927837912847,106
Alternative 3′ End,17.6797113516514,637
Alternative First Exon,31.307243963363863,1128
Alternative Last Exon,37.24673882875382,1342
