Event Type,Percentage,Count
Alternative Exon,4.757121331706967,663
Intron Retention,5.18045490421181,722
Alternative 5′ End,3.6019229389395133,502
Alternative 3′ End,22.759560881107845,3172
Alternative First Exon,28.09786898184688,3916
Alternative Last Exon,35.60307096218698,4962
