Event Type,Percentage,Count
Alternative Exon,31.965174129353237,514
Intron Retention,1.9900497512437811,32
Alternative 5′ End,2.9850746268656714,48
Alternative 3′ End,2.736318407960199,44
Alternative First Exon,47.32587064676617,761
Alternative Last Exon,12.997512437810945,209
