,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
154,9.641852424251493,1.5794973280526514,-8.06235509619884,0.0038955903090564,9.054537567847017e-09,0.0213112251370115,0.0,1.0,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-8.003942324431707,-8.003942324431707,blue
53,8.528444421715236,0.6819281039338944,-7.846516317781356,0.0052273046259394,7.649234940943777e-10,0.0254257949301726,0.0,1.0,ENSMUST00000004554,ENSMUSG00000012848,0.0,3,0,0,1,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,-7.579717048546559,-7.579717048546559,blue
187,9.402069334528642,1.1614876266536016,-8.240581707875043,0.0056586803304189,5.223862750389938e-11,0.0227695975480088,0.0,1.0,ENSMUST00000132846-0,ENSMUSG00000071866,0.0058252427184466,3,1,1,1,1,0,0,0.0,1,0,0,1,1,0,1,0,0,0,0,0,-7.465318645517738,-7.465318645517738,blue
124,8.821268893539793,1.400182428830119,-7.421086464709671,0.0058056885658158,1.9659926099207814e-07,0.0332472794901142,0.0,1.0,ENSMUST00000059802,ENSMUSG00000048758,0.8415841584158416,3,0,0,1,2,1,4,1.0,2,0,0,1,0,0,1,1,1,3,0,0,-7.4283171010206095,-7.4283171010206095,blue
17,9.40211944939762,1.472960324681905,-7.929159124715706,0.0059500282741706,3.4755844353351573e-10,0.0286962530756765,0.0,1.0,3886dadf-8a9c-4e1c-881a-76311a47dd16-0,ENSMUSG00000029614,0.2416326530612245,5,0,0,1,1,0,2,1.0,2,0,0,2,0,0,1,0,0,2,0,0,-7.392887760626583,-7.392887760626583,blue
113,7.5626419189887235,0.3688544338650769,-7.193787485123656,0.0062254954210739,2.0029197004510666e-08,0.0300160241350992,0.0,1.0,ENSMUST00000047629,ENSMUSG00000041438,0.0,1,0,0,1,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,-7.327595634134161,-7.327595634134161,blue
58,7.306948898791107,0.3564650098403957,-6.950483888950707,0.006310455389098,1.0040822601958293e-07,0.0362315613907788,0.0,1.0,ENSMUST00000019470,ENSMUSG00000078652,0.0,1,0,1,1,1,0,0,1.0,2,0,3,0,0,1,1,0,0,0,0,3,-7.308040164733614,-7.308040164733614,blue
50,7.897749970265509,0.5448306673213623,-7.352919302944152,0.0065810459668074,4.565182672532535e-09,0.034543284917424,0.0,1.0,ENSMUST00000002883,ENSMUSG00000021319,0.0369406867845993,5,3,3,1,1,0,0,1.0,3,0,0,1,3,0,1,0,0,0,0,0,-7.247467385929332,-7.247467385929332,blue
9,7.226965315869442,0.3614640212357909,-6.865501294633656,0.0067699190081027,4.317002625685521e-07,0.0304292887887726,0.0,1.0,1c97073a-cbb5-479a-9655-3e233f680299-0,ENSMUSG00000041453,0.503883495145631,5,0,0,1,1,0,0,1.0,2,0,0,3,0,0,1,0,0,0,0,0,-7.206645710434567,-7.206645710434567,blue
276,7.486640561487421,0.3630195745075467,-7.123620986979864,0.0067750914099066,2.677354068787736e-09,0.0347346564177188,0.0,1.0,c1a5bdfd-9bf9-4367-adf9-b40aaa46d980-0,ENSMUSG00000024835,0.0104669887278582,4,2,2,1,1,0,0,0.0,1,0,0,1,2,0,1,0,0,0,0,0,-7.2055438731432835,-7.2055438731432835,blue
