,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
98,0.3357906498475053,0.5551781944194321,0.2193875445719266,1.2710749350260206,0.8101218976752644,1.7674413093960362,0.875,0.125,ENSMUST00000006912,ENSMUSG00000026737,0.0,1,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0.34604908557784597,grey
479,0.336155088061861,0.5582991446137783,0.2221440565519178,1.2711964144032155,0.8728593319391414,1.7314560539594253,0.8875,0.1125,ENSMUST00000073926,ENSMUSG00000061983,0.0679156908665105,6,1,1,0,0,0,0,0.0,2,0,2,2,1,0,0,0,0,0,0,2,0.3461869604708797,grey
46,0.3388554587961869,0.5613603799184884,0.2225049211223016,1.2728413895986752,0.8270390594295967,1.768118420774025,0.885,0.115,85194a40-ba22-4389-a129-ea0183605b81-0,ENSMUSG00000029344,0.3334254067342485,5,1,1,0,0,0,0,0.0,1,0,0,2,1,0,0,0,0,0,0,0,0.3480526543563087,grey
523,0.3375460378832089,0.5495030289936943,0.2119569911104852,1.272844640130044,0.7267618182361005,1.9496124292548045,0.825,0.175,ENSMUST00000088313,ENSMUSG00000001964,1.0,2,1,2,0,0,0,0,1.0,2,0,0,1,1,1,0,0,0,0,0,0,0.3480563386484258,grey
283,0.3373197290388702,0.5596774367078758,0.2223577076690058,1.272961393668201,0.8891396246080842,1.8138375056806724,0.8975,0.1025,ENSMUST00000030292,ENSMUSG00000028563,0.2439024390243902,3,2,2,0,0,0,5,0.0,1,0,0,1,2,0,0,0,0,5,0,0,0.34818866589440384,grey
282,0.3373197290388702,0.5596774367078758,0.2223577076690058,1.272961393668201,0.8891396246080842,1.8138375056806724,0.8975,0.1025,ENSMUST00000030292,ENSMUSG00000028563,0.2439024390243902,3,2,2,0,0,0,5,0.0,1,0,0,1,2,0,0,0,0,5,0,0,0.34818866589440384,grey
748,0.3304061309887471,0.5510521893313761,0.2206460583426286,1.2731522244794662,0.8795456894395458,1.8299500902487391,0.8875,0.1125,ENSMUST00000181030-0,ENSMUSG00000097174,0.0,1,1,1,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0.3484049254231337,grey
117,0.3318671676665305,0.5496946983289657,0.2178275306624354,1.2731741187492709,0.7969188440722631,1.861903303931853,0.8525,0.1475,ENSMUST00000016144,ENSMUSG00000021759,0.0,2,1,1,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0.3484297350902496,grey
427,0.3321032516062538,0.5483003779638507,0.2161971263575964,1.2740315751968756,0.8244120338948077,1.9180596411879804,0.84,0.16,ENSMUST00000052249,ENSMUSG00000041632,0.0,1,1,2,0,0,0,12,0.0,1,0,0,0,1,1,0,0,0,12,0,0,0.34940103333632677,grey
837,0.3348361754296558,0.5596801339947712,0.2248439585651143,1.2741583449244185,0.7610420523200057,1.7360262716578465,0.89,0.11,e922a60e-03c1-4581-8355-61b6f4339e97-0,ENSMUSG00000042079,0.0,4,1,1,0,1,0,0,1.0,2,0,0,0,1,0,0,1,0,0,0,0,0.34954457841196473,grey
571,0.3352198812052701,0.5516316952380617,0.2164118140327907,1.2748140659046812,0.8167604154503733,1.8489701166252857,0.83,0.17,ENSMUST00000108195-0,ENSMUSG00000027679,1.0,2,2,2,0,1,0,0,0.0,3,0,3,1,2,0,0,1,0,0,0,3,0.35028684256773257,grey
572,0.3352198812052701,0.5516316952380617,0.2164118140327907,1.2748140659046812,0.8167604154503733,1.8489701166252857,0.83,0.17,ENSMUST00000108195-0,ENSMUSG00000027679,1.0,2,2,2,0,1,0,0,0.0,3,0,3,1,2,0,0,1,0,0,0,3,0.35028684256773257,grey
621,0.3314812992220659,0.5548486499662493,0.223367350744183,1.2750462350690872,0.8483042919684864,1.7708938090567572,0.9,0.1,ENSMUST00000123413,ENSMUSG00000022884,0.1193976335604159,7,2,2,0,0,1,12,0.0,2,0,0,3,2,0,0,0,1,11,0,0,0.35054956229628687,grey
622,0.3314812992220659,0.5548486499662493,0.223367350744183,1.2750462350690872,0.8483042919684864,1.7708938090567572,0.9,0.1,ENSMUST00000123413,ENSMUSG00000022884,0.1193976335604159,7,2,2,0,0,1,12,0.0,2,0,0,3,2,0,0,0,1,11,0,0,0.35054956229628687,grey
744,0.3332806718239445,0.555463057365883,0.2221823855419387,1.2751160540447164,0.8154929109304051,1.8202003086815084,0.905,0.095,ENSMUST00000177390,ENSMUSG00000046519,0.0,1,1,1,0,0,0,0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0.35062855922158476,grey
