,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
85,7.015457281756603,0.3527191285455975,-6.662738153211002,0.0117938988628807,2.3968846545340092e-08,0.060543902912723,0.0,1.0,ENSMUST00000190279-0,ENSMUSG00000035048,0.0,5,0,0,1,1,0,0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,-6.405815462101892,blue
56,7.164884071086608,0.3600091176506848,-6.804874953435924,0.011983764408383,1.22470192938089e-09,0.0617701793132304,0.0,1.0,ENSMUST00000088552,ENSMUSG00000067818,0.0,2,1,1,1,1,0,0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,-6.382775022864626,blue
14,6.930225197497752,0.365188409273737,-6.565036788224019,0.0126214482977165,1.0533904071223792e-07,0.0659573280296604,0.0,1.0,ENSMUST00000002883,ENSMUSG00000021319,0.0369406867845993,5,3,3,1,1,0,0,1.0,3,0,0,1,3,0,1,0,0,0,0,0,-6.307978722239718,blue
72,6.447870272479598,0.4811830845105914,-5.966687187969006,0.0128045562393975,2.7821171116583944e-06,0.0650633311535438,0.0,1.0,ENSMUST00000126610-0,ENSMUSG00000038900,0.9392265193370166,3,1,1,1,1,0,0,0.0,1,0,5,1,1,0,1,0,0,0,0,5,-6.287198934677233,blue
4,6.973783270750025,0.358101253909566,-6.615682016840459,0.0131836787053114,2.134175418767106e-07,0.0676733806627935,0.0,1.0,24fa1384-b827-4a60-a13e-9709e12615f1-0,ENSMUSG00000022037,0.1466571666072913,7,0,0,1,1,0,0,0.0,1,0,0,3,0,0,1,0,0,0,0,0,-6.245103201114114,blue
83,6.927967579810549,0.3600112967140843,-6.567956283096469,0.0150222891575872,2.2121163839108045e-07,0.0896245402451923,0.0,1.0,ENSMUST00000173867-0,ENSMUSG00000007739,0.0,5,0,0,1,1,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,-6.056751516426029,blue
78,7.0239720412973785,0.3554502628292894,-6.668521778468086,0.0154234360413965,4.335039046667288e-08,0.0768194516003206,0.0,1.0,ENSMUST00000160027-0,ENSMUSG00000060073,0.8409090909090909,4,2,2,1,1,0,9,0.0,1,0,2,2,2,0,1,0,0,9,0,2,-6.018731984336133,blue
84,6.012349668521406,0.4909055057956747,-5.521444162725734,0.0185107682299923,7.308414591535186e-07,0.0832918043928427,0.0,1.0,ENSMUST00000177005-0,ENSMUSG00000001418,0.0,1,1,1,1,1,1,5,0.0,1,0,1,0,1,0,1,0,1,4,0,1,-5.755491418898967,blue
7,5.688281589074163,0.8214002627545718,-4.86688132631959,0.0262970723384105,3.537115977756288e-06,0.1273268999686256,0.0,1.0,3886dadf-8a9c-4e1c-881a-76311a47dd16-0,ENSMUSG00000029614,0.2416326530612245,5,0,0,1,1,0,2,1.0,2,0,0,2,0,0,1,0,0,2,0,0,-5.248953997023766,blue
41,5.069461842538074,0.6046338059125128,-4.464828036625565,0.0331021206825833,3.046303415791304e-05,0.1380039862695582,0.0,1.0,ENSMUST00000040888-0,ENSMUSG00000042747,0.0,1,2,2,1,1,0,4,1.0,2,0,0,0,2,0,1,0,0,4,0,0,-4.916932543731931,blue
64,5.193368542380614,0.8386900892930743,-4.354678453087539,0.0331213476776255,0.0001056481025533,0.1377614214034359,0.0,1.0,ENSMUST00000108430-0,ENSMUSG00000040952,0.0640878919661249,6,2,3,1,3,0,0,1.0,2,0,1,2,2,1,1,2,0,0,0,1,-4.916094813789212,blue
93,5.27405492307809,1.338041967680665,-3.936012955397424,0.0496889521474588,0.0002028261951469,0.2066937034383221,0.0,1.0,ENSMUST00000223999,ENSMUSG00000025290,0.2808988764044944,6,4,4,1,2,0,7,0.0,2,0,3,2,4,0,1,1,0,7,0,3,-4.3309310714649785,blue
47,4.238269769409997,0.6103869805778418,-3.627882788832156,0.0512606342156441,0.0002777814719458,0.1741185286536702,0.0,1.0,ENSMUST00000059802,ENSMUSG00000048758,0.8415841584158416,3,0,0,1,2,1,4,1.0,2,0,0,1,0,0,1,1,1,3,0,0,-4.286004861474842,blue
31,4.873644154477147,0.8227138882499176,-4.05093026622723,0.0548536593363773,2.070377968971893e-05,0.2458270979718768,0.0,1.0,ENSMUST00000026128-0,ENSMUSG00000025135,0.0,2,0,0,1,1,0,0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,-4.188268322467187,blue
32,4.130340652070451,0.4814480283588936,-3.648892623711559,0.0594216639733708,6.031642095731838e-05,0.2078849192295078,0.0,1.0,ENSMUST00000027401-0,ENSMUSG00000026201,0.0108352144469525,5,0,1,1,2,1,3,0.0,1,0,1,1,0,1,1,1,1,2,0,1,-4.072867184525362,blue
54,4.490436393527892,1.2315855298988558,-3.258850863629042,0.0696718962864209,0.0001142117832964,0.2374940578873937,0.0,1.0,ENSMUST00000086535-0,ENSMUSG00000073702,0.0,2,0,0,1,1,0,0,0.0,1,0,1,0,0,0,1,0,0,0,0,1,-3.8432793595704773,blue
26,3.7075327969361775,0.6012528934506407,-3.1062799034855404,0.0862409055186724,0.000519111216383,0.2984179399559803,0.0,1.0,ENSMUST00000022573-0,ENSMUSG00000021996,0.0,4,0,0,2,2,0,1,0.0,1,0,0,0,0,0,2,0,0,1,0,0,-3.535483863488114,blue
27,3.7075327969361775,0.6012528934506407,-3.1062799034855404,0.0862409055186724,0.000519111216383,0.2984179399559803,0.0,1.0,ENSMUST00000022573-0,ENSMUSG00000021996,0.0,4,0,0,2,2,0,1,0.0,1,0,0,0,0,0,2,0,0,1,0,0,-3.535483863488114,blue
82,0.9712774718748034,0.3127818376051922,-0.6584956342696117,0.5416546229615066,0.2445542123630303,0.8229196994650231,0.0025,0.9975,ENSMUST00000168166-0,ENSMUSG00000007656,0.0,3,0,0,2,2,1,4,0.0,2,0,0,0,0,0,2,0,1,3,0,0,-0.8845548605866083,blue
81,0.9712774718748034,0.3127818376051922,-0.6584956342696117,0.5416546229615066,0.2445542123630303,0.8229196994650231,0.0025,0.9975,ENSMUST00000168166-0,ENSMUSG00000007656,0.0,3,0,0,2,2,1,4,0.0,2,0,0,0,0,0,2,0,1,3,0,0,-0.8845548605866083,blue
61,0.9628757540440273,0.3015927873759558,-0.6612829666680713,0.546309149351353,0.1851265740222749,0.8564278280267519,0.005,0.995,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-0.8722105100112718,blue
