,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
770,0.3603537841611088,0.9572636643258812,0.5969098801647711,1.9272751057095288,0.9730009479014484,3.3682002195350984,0.9875,0.0125,ENSMUST00000027215,ENSMUSG00000026049,0.057012542759407,6,2,2,0,0,0,0,0.0,1,0,0,2,2,0,0,0,0,0,0,0,0.9465625214595524,0.9465625214595524,grey
769,0.3603537841611088,0.9572636643258812,0.5969098801647711,1.9272751057095288,0.9730009479014484,3.3682002195350984,0.9875,0.0125,ENSMUST00000027215,ENSMUSG00000026049,0.057012542759407,6,2,2,0,0,0,0,0.0,1,0,0,2,2,0,0,0,0,0,0,0,0.9465625214595524,0.9465625214595524,grey
1203,0.3651197604581894,0.966959136223861,0.6018393757656707,1.940682002192904,0.8716891765350098,3.162140225545449,0.98,0.02,ENSMUST00000061118,ENSMUSG00000045100,0.0,1,1,1,0,0,0,10,1.0,2,0,0,0,1,0,0,0,0,10,0,0,0.956563739151874,0.956563739151874,grey
2151,0.3645669631006985,0.9718705206694466,0.6073035575687485,1.9473696117699573,0.9617283379240464,3.4717249112313904,0.995,0.005,a4c84b0e-bd78-4659-89f4-1b82545e0c6f-0,ENSMUSG00000059119,0.0005726908287654,5,2,3,0,0,0,0,0.0,2,0,0,1,2,1,0,0,0,0,0,0,0.9615267343201659,0.9615267343201659,grey
2152,0.3645669631006985,0.9718705206694466,0.6073035575687485,1.9473696117699573,0.9617283379240464,3.4717249112313904,0.995,0.005,a4c84b0e-bd78-4659-89f4-1b82545e0c6f-0,ENSMUSG00000059119,0.0005726908287654,5,2,3,0,0,0,0,0.0,2,0,0,1,2,1,0,0,0,0,0,0,0.9615267343201659,0.9615267343201659,grey
2148,0.3650106942437358,0.969461561258586,0.6044508670148505,1.9532776155285605,0.9874375330696872,3.572685883345361,0.995,0.005,a0d883c3-ae7e-4829-9ff1-ead17ed5c29f-0,ENSMUSG00000037822,0.5841795690132672,5,2,3,0,0,0,0,0.0,2,0,0,3,2,1,0,0,0,0,0,0,0.9658970112230686,0.9658970112230686,grey
2147,0.3650106942437358,0.969461561258586,0.6044508670148505,1.9532776155285605,0.9874375330696872,3.572685883345361,0.995,0.005,a0d883c3-ae7e-4829-9ff1-ead17ed5c29f-0,ENSMUSG00000037822,0.5841795690132672,5,2,3,0,0,0,0,0.0,2,0,0,3,2,1,0,0,0,0,0,0,0.9658970112230686,0.9658970112230686,grey
1016,0.3587089618316558,0.9894510664293854,0.6307421045977302,1.992232078791748,0.9814077471417176,3.5301923410362264,0.995,0.005,ENSMUST00000037548-0,ENSMUSG00000038876,0.0,2,1,1,0,1,0,0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0.9943857194036626,0.9943857194036626,grey
1098,1.3508129226386234,1.8678207755483056,0.5170078529096835,2.0043244046675137,0.3423740562569177,4.5634842152635775,0.81,0.19,ENSMUST00000046207-0,ENSMUSG00000037361,0.0033876079117036,3,1,1,0,0,0,1,0.0,1,0,0,1,1,0,0,0,0,1,0,0,1.003116031052177,1.003116031052177,grey
1864,0.7493079381622184,1.374767167809671,0.6254592296474522,2.0822390236328245,0.7946643790964526,4.180957690887951,0.9425,0.0575,ENSMUST00000156859-0,ENSMUSG00000025745,0.0,3,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,1.058135687473402,1.058135687473402,grey
1863,0.7493079381622184,1.374767167809671,0.6254592296474522,2.0822390236328245,0.7946643790964526,4.180957690887951,0.9425,0.0575,ENSMUST00000156859-0,ENSMUSG00000025745,0.0,3,2,2,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,1.058135687473402,1.058135687473402,grey
1700,5.643301979018215,5.965066849703828,0.321764870685619,2.798310254974961,0.0632599636545464,9.747705076745502,0.6025,0.3975,ENSMUST00000130325-0,ENSMUSG00000031683,0.0,2,1,1,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1.4845559262265675,1.4845559262265675,grey
