,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
28,0.3629523173867129,0.9122587853853992,0.5493064679986867,1.8334584897389916,0.9462277637004106,3.150807177336909,0.99,0.01,3c981b55-71cb-445f-a553-573de6ca25da-0,ENSMUSG00000061904,0.0167966406718656,7,0,2,0,0,0,0,0.0,1,2,2,1,0,2,0,0,0,0,2,0,0.8745676032049501,0.8745676032049501,grey
27,0.3629523173867129,0.9122587853853992,0.5493064679986867,1.8334584897389916,0.9462277637004106,3.150807177336909,0.99,0.01,3c981b55-71cb-445f-a553-573de6ca25da-0,ENSMUSG00000061904,0.0167966406718656,7,0,2,0,0,0,0,0.0,1,2,2,1,0,2,0,0,0,0,2,0,0.8745676032049501,0.8745676032049501,grey
113,0.3692630137779019,0.9257639427501446,0.5565009289722422,1.8467356093954044,0.9516153951279204,3.1555118201223027,0.9775,0.0225,ENSMUST00000131939-0,ENSMUSG00000030035,1.0,3,0,0,0,2,0,4,1.0,2,1,2,2,0,0,0,2,0,4,1,1,0.884977335558491,0.884977335558491,grey
54,0.4351291320701125,0.9988019329176367,0.5636728008475232,1.847692567207242,0.9156427413091924,3.0757015768854084,0.99,0.01,86d2e817-ae28-4d1c-a74a-b8beb98760e8-0,ENSMUSG00000000901,0.0051933064050779,3,0,0,0,1,0,0,0.0,1,2,2,1,0,0,0,1,0,0,2,0,0.8857247304214355,0.8857247304214355,grey
53,0.4351291320701125,0.9988019329176367,0.5636728008475232,1.847692567207242,0.9156427413091924,3.0757015768854084,0.99,0.01,86d2e817-ae28-4d1c-a74a-b8beb98760e8-0,ENSMUSG00000000901,0.0051933064050779,3,0,0,0,1,0,0,0.0,1,2,2,1,0,0,0,1,0,0,2,0,0.8857247304214355,0.8857247304214355,grey
101,0.3613814541011094,0.9349606045174076,0.5735791504162987,1.875447025129629,0.9154913432030444,3.0776708542542366,0.99,0.01,ENSMUST00000116476,ENSMUSG00000022194,0.0,4,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,1,0,0.9072345124463788,0.9072345124463788,grey
8,0.36959138794149,0.9554665846510364,0.5858751967095462,1.89054704884886,0.9562130699536024,3.1578613669893585,0.99,0.01,0c127373-1083-48b7-96a3-1e6bae8f0e28-0,ENSMUSG00000028099,1.0,2,1,1,0,1,0,15,1.0,2,1,1,1,1,0,0,1,0,15,1,0,0.9188037532110586,0.9188037532110586,grey
17,0.3646704704708453,0.9583905685960068,0.5937200981251616,1.925103490686104,0.9087598581348048,3.3060518136416346,0.9825,0.0175,20e92347-127c-482a-ac70-57c53b137697-0,ENSMUSG00000044328,0.0,2,0,1,0,0,0,0,0.0,1,1,1,0,0,1,0,0,0,0,1,0,0.944936005021216,0.944936005021216,grey
31,0.3572048727452394,1.0001831373825971,0.6429782646373573,2.0033560431544566,0.990994644387054,3.516239786048007,0.99,0.01,438360db-0d83-4dfe-81e3-59b0193361bd-0,ENSMUSG00000026360,1.0,2,0,0,0,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,1,2,1.0024188445384057,1.0024188445384057,grey
130,1.3944810359437725,2.2884264797999414,0.8939454438561658,3.2001343177313246,0.5114752431723841,8.551599268174526,0.905,0.095,ENSMUST00000161684-0,ENSMUSG00000009687,0.0,5,0,0,0,0,0,9,0.8108108108108109,3,1,1,0,0,0,0,0,0,9,1,0,1.6781324599433003,1.6781324599433003,grey
102,0.5783497995786988,2.31907085753647,1.740721057957769,9.259893775563317,1.1738321548926305,25.300022224275057,1.0,0.0,ENSMUST00000117544,ENSMUSG00000073294,0.0,1,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,3.210995643772011,3.210995643772011,red
