,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
125,0.7777915762906866,3.906393606084015,3.128602029793328,65.7932511002031,1.122012403149396,241.2754318391456,1.0,0.0,33b0a8bb-2884-4dc2-93d3-d19557488065-0,ENSMUSG00000005873,0.0,2,0,1,0,0,0,0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,6.039867698549565,red
747,0.6207561695509525,3.923954431088171,3.303198261537219,68.10844778116736,2.3446322593793862,270.8904662737996,1.0,0.0,ENSMUST00000119968-0,ENSMUSG00000019710,0.0242510699001426,5,0,1,0,1,0,0,0.0,1,1,1,1,0,1,0,1,0,0,1,0,6.089761847840232,red
245,0.8111788649638774,4.141070183127241,3.3298913181633627,70.5250190708925,1.0081273314606969,221.2246177731399,1.0,0.0,612b2450-6890-47c7-805d-634ae0dec24a-0,ENSMUSG00000060373,0.0,5,0,1,0,1,0,9,0.0,3,0,0,0,0,1,0,1,0,9,0,0,6.140063245821971,red
1046,0.6077312757100102,3.881149219308477,3.2734179435984654,76.09507111787865,1.7974302892158025,298.51911096346686,1.0,0.0,afe20ede-112f-4345-a8d0-918858356bcb-0,ENSMUSG00000018442,0.017128175849272,3,0,2,0,0,0,0,0.0,1,0,0,1,0,2,0,0,0,0,0,0,6.249731104410088,red
1045,0.6077312757100102,3.881149219308477,3.2734179435984654,76.09507111787865,1.7974302892158025,298.51911096346686,1.0,0.0,afe20ede-112f-4345-a8d0-918858356bcb-0,ENSMUSG00000018442,0.017128175849272,3,0,2,0,0,0,0,0.0,1,0,0,1,0,2,0,0,0,0,0,0,6.249731104410088,red
1165,0.4833165562532203,3.715926775089057,3.2326102188358363,79.3182608115621,1.5896003755620838,287.2903520946017,1.0,0.0,e1a2f6a3-5d19-4a18-b711-a8f9102827fc-0,ENSMUSG00000024866,0.0,1,1,2,0,0,1,7,0.0,1,0,0,0,1,1,0,0,1,6,0,0,6.3095811392463235,red
268,0.483128052187814,3.8864457596406528,3.403317707452836,79.88107985789618,2.520997312330136,341.6690661436914,1.0,0.0,6c2a766b-de4c-4ad2-a953-9604f7b0ee5c-0,ENSMUSG00000003352,0.0,2,0,1,0,0,0,9,0.0,1,0,0,0,0,1,0,0,0,9,0,0,6.319781930612431,red
176,3.343075831774387,6.518240539090094,3.175164707315706,82.64545128476317,0.2625505171318723,339.8700859404546,0.9825,0.0175,48c01b81-1834-4e49-aeb6-9d478caa7a92-0,ENSMUSG00000090841,0.2836624775583483,9,2,3,0,0,0,5,0.0,1,0,0,5,2,1,0,0,0,5,0,0,6.36886351223308,grey
713,1.2662947471258796,4.541509018739525,3.275214271613641,88.95596292005219,1.51078837962669,377.5116119202212,1.0,0.0,ENSMUST00000113888,ENSMUSG00000014554,0.0,2,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,6.475019410743526,red
902,0.8192467721295444,4.111298526655365,3.292051754525819,89.43460132923313,1.8890431605216145,267.63610226581403,1.0,0.0,ENSMUST00000192226-0,ENSMUSG00000032599,0.0020876826722338,4,2,4,1,1,0,6,0.0,3,0,2,1,2,2,1,0,0,6,0,2,6.4827611982002145,red
903,0.8192467721295444,4.111298526655365,3.292051754525819,89.43460132923313,1.8890431605216145,267.63610226581403,1.0,0.0,ENSMUST00000192226-0,ENSMUSG00000032599,0.0020876826722338,4,2,4,1,1,0,6,0.0,3,0,2,1,2,2,1,0,0,6,0,2,6.4827611982002145,red
1084,0.5884249024084972,4.018366192789254,3.429941290380757,91.42979148032072,1.5701504920144445,322.47233339899697,1.0,0.0,c144e3f6-2187-411a-8f19-ab6022c26076-0,ENSMUSG00000015937,0.0019761299158677,4,1,3,0,0,0,7,1.0,2,0,0,1,1,2,0,0,0,7,0,0,6.514592424479837,red
1083,0.5884249024084972,4.018366192789254,3.429941290380757,91.42979148032072,1.5701504920144445,322.47233339899697,1.0,0.0,c144e3f6-2187-411a-8f19-ab6022c26076-0,ENSMUSG00000015937,0.0019761299158677,4,1,3,0,0,0,7,1.0,2,0,0,1,1,2,0,0,0,7,0,0,6.514592424479837,red
1220,0.6011565130671004,3.9173641968728776,3.31620768380578,91.99693075106184,1.8452389187716505,395.2121183552832,1.0,0.0,fb2ba1a0-943e-460f-8692-aa715335a4ad-0,ENSMUSG00000007050,0.0,2,0,1,0,0,1,4,0.0,1,0,0,0,0,1,0,0,1,3,0,0,6.523513824925644,red
817,0.4822932610135309,3.969802447630812,3.487509186617279,96.61686274831852,2.3108225312457167,477.1270821039797,1.0,0.0,ENSMUST00000150606-0,ENSMUSG00000030545,0.0,1,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,6.594203102584638,red
73,0.5880403807269352,4.028531036850705,3.4404906561237705,100.07769082053946,2.384526087522879,331.72499769472955,1.0,0.0,1fd794db-d760-424f-b32f-03631493a411-0,ENSMUSG00000026309,0.0,5,1,2,0,0,0,10,1.0,2,0,0,0,1,1,0,0,0,10,0,0,6.644976596219727,red
990,0.6421569565074392,4.33865245523265,3.6964954987252128,101.97614570435748,1.5409843007202872,366.7516234816623,1.0,0.0,ENSMUST00000232321,ENSMUSG00000023791,0.0,3,2,3,0,2,0,7,1.0,3,0,0,0,2,1,0,2,0,7,0,0,6.672087905708393,red
1162,0.570987063231393,4.072306137545467,3.50131907431408,103.11893094903807,2.1135002348806022,347.65235109956296,1.0,0.0,e04b0c8e-f5be-4a3a-974f-91b7c5915865-0,ENSMUSG00000060803,0.074074074074074,3,1,2,0,1,0,5,1.0,2,0,0,1,1,1,0,1,0,5,0,0,6.688165402007059,red
662,0.4772248659453921,3.9239306700500394,3.446705804104646,105.0440377465471,2.6137710905499656,338.1428047781452,1.0,0.0,ENSMUST00000107491,ENSMUSG00000068921,0.0452927601986936,5,3,4,0,0,0,0,0.0,1,0,0,3,3,1,0,0,0,0,0,0,6.714850467372555,red
503,0.4851900247683136,3.962698825790053,3.477508801021735,112.8537151320697,2.781261409450435,492.8938796142708,1.0,0.0,ENSMUST00000039153,ENSMUSG00000040774,0.0,3,1,2,0,0,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,6.8183101024505985,red
86,0.4911324436450694,3.974915240760432,3.4837827971153605,118.67493042345951,1.48188763644103,503.5054320389924,1.0,0.0,23f3776a-6b38-42c5-8ad3-340b0427b886-0,ENSMUSG00000063884,0.0,3,0,1,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,6.890871393721473,red
286,0.4993835286564142,4.0961069750409305,3.596723446384513,122.35604214045983,2.294389523345145,537.2288494470848,1.0,0.0,718a8a23-91c4-4c7a-a474-2273c49e277b-0,ENSMUSG00000046949,0.2006269592476489,3,0,3,0,0,0,0,0.0,1,0,0,1,0,3,0,0,0,0,0,0,6.93494153557981,red
288,0.4993835286564142,4.0961069750409305,3.596723446384513,122.35604214045983,2.294389523345145,537.2288494470848,1.0,0.0,718a8a23-91c4-4c7a-a474-2273c49e277b-0,ENSMUSG00000046949,0.2006269592476489,3,0,3,0,0,0,0,0.0,1,0,0,1,0,3,0,0,0,0,0,0,6.93494153557981,red
287,0.4993835286564142,4.0961069750409305,3.596723446384513,122.35604214045983,2.294389523345145,537.2288494470848,1.0,0.0,718a8a23-91c4-4c7a-a474-2273c49e277b-0,ENSMUSG00000046949,0.2006269592476489,3,0,3,0,0,0,0,0.0,1,0,0,1,0,3,0,0,0,0,0,0,6.93494153557981,red
146,0.4837874842544972,3.9001446254433874,3.416357141188889,122.90952586651866,1.399222868471923,460.0383454860538,1.0,0.0,3b4e41ff-eb8b-4e1b-ad6d-61a6284f7c95-0,ENSMUSG00000032376,0.0,2,0,2,0,0,0,9,0.0,2,0,0,0,0,2,0,0,0,9,0,0,6.941452923124141,red
