,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
3010,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3001,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3009,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3004,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3005,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3003,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3006,0.5536956670334662,0.3351754986140651,-0.2185201684194013,0.8192499400846697,0.5517465964786786,1.1620694909863385,0.1175,0.8825,ENSMUST00000072206-0,ENSMUSG00000023345,0.0,1,1,1,0,0,0,10,0.0,2,0,0,0,1,0,0,0,0,10,0,0,-0.28762443262991993,grey
3331,0.5553989338446091,0.3340540260157661,-0.2213449078288426,0.8195660327828036,0.5122343191479622,1.138897460693376,0.155,0.845,ENSMUST00000096272,ENSMUSG00000065979,1.0,2,0,0,0,0,0,4,1.0,2,0,0,1,0,0,0,0,0,4,0,0,-0.28706790232845336,grey
3328,0.5553989338446091,0.3340540260157661,-0.2213449078288426,0.8195660327828036,0.5122343191479622,1.138897460693376,0.155,0.845,ENSMUST00000096272,ENSMUSG00000065979,1.0,2,0,0,0,0,0,4,1.0,2,0,0,1,0,0,0,0,0,4,0,0,-0.28706790232845336,grey
3330,0.5553989338446091,0.3340540260157661,-0.2213449078288426,0.8195660327828036,0.5122343191479622,1.138897460693376,0.155,0.845,ENSMUST00000096272,ENSMUSG00000065979,1.0,2,0,0,0,0,0,4,1.0,2,0,0,1,0,0,0,0,0,4,0,0,-0.28706790232845336,grey
3329,0.5553989338446091,0.3340540260157661,-0.2213449078288426,0.8195660327828036,0.5122343191479622,1.138897460693376,0.155,0.845,ENSMUST00000096272,ENSMUSG00000065979,1.0,2,0,0,0,0,0,4,1.0,2,0,0,1,0,0,0,0,0,4,0,0,-0.28706790232845336,grey
