,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
16,0.3411683712069795,0.5454844777151299,0.2043161065081502,1.2528332626303498,0.8389017848171129,1.831668070625096,0.8675,0.1325,ENSMUST00000046575,ENSMUSG00000038502,0.0,8,0,0,0,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,1,1,0.32519442169658025,grey
24,0.3359494766250654,0.5476718195571919,0.2117223429321265,1.2575759891396232,0.8583811355173838,1.7554159118210302,0.89,0.11,ENSMUST00000120990,ENSMUSG00000051041,0.0,1,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,1,0,0.3306455776392743,grey
15,0.337928090015794,0.5548354169522736,0.2169073269364792,1.2615463129771542,0.8782812732644172,1.703654080186752,0.885,0.115,ENSMUST00000034808,ENSMUSG00000032271,0.0,1,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,1,0,0.33519317046483804,grey
13,0.3397633623572627,0.5499223051441682,0.2101589427869059,1.2624340073918114,0.8464166902214824,1.920371385312453,0.8725,0.1275,ENSMUST00000020454,ENSMUSG00000020232,0.0149333333333333,5,0,0,0,0,0,10,0.0,1,1,1,2,0,0,0,0,0,10,1,0,0.3362079742430768,grey
38,0.3320744004969841,0.5473811236757467,0.2153067231787623,1.2659753651307062,0.8371744414910159,1.788250293831584,0.85,0.15,c6165859-a770-454b-916c-f766c56ee63c-0,ENSMUSG00000061983,0.0679156908665105,6,0,1,0,0,0,0,1.0,2,1,2,2,0,1,0,0,0,0,1,1,0.3402493313463832,grey
26,0.3370575386288941,0.5567688335071026,0.2197112948782086,1.2685542083921828,0.8224807321343982,1.7743263706947656,0.8925,0.1075,ENSMUST00000134425,ENSMUSG00000061787,0.0276625172890733,5,0,0,0,1,0,5,1.0,2,1,1,1,0,0,0,1,0,5,1,0,0.343185170570621,grey
20,0.3394264696043061,0.5585554691514626,0.2191289995471561,1.2708320330056164,0.7677704266057436,1.6902032229604511,0.875,0.125,ENSMUST00000101343,ENSMUSG00000029910,0.0,1,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,1,0,0.3457733606628644,grey
3,0.3373052026576217,0.5634490891073526,0.2261438864497308,1.281278440893604,0.8041028659847002,1.7995673808026256,0.8975,0.1025,13f761fb-c85d-4af6-8862-b868264eb302-0,ENSMUSG00000030890,0.1552062868369351,4,0,0,0,0,0,0,0.0,1,2,2,1,0,0,0,0,0,0,2,0,0.35758402887624047,grey
2,0.3373052026576217,0.5634490891073526,0.2261438864497308,1.281278440893604,0.8041028659847002,1.7995673808026256,0.8975,0.1025,13f761fb-c85d-4af6-8862-b868264eb302-0,ENSMUSG00000030890,0.1552062868369351,4,0,0,0,0,0,0,0.0,1,2,2,1,0,0,0,0,0,0,2,0,0.35758402887624047,grey
32,0.7612561952868107,2.6013258130386383,1.8400696177518268,9.085218807636336,1.3982083240100929,27.811192811312157,0.9975,0.0025,ENSMUST00000169308,ENSMUSG00000025731,0.0,1,0,0,0,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,1,0,3.1835212606223524,red
7,2.81526178153356,7.295295456474631,4.480033674941067,992.6498799671314,0.8743075628897262,3251.510262695348,0.9975,0.0025,43ede01a-807b-4abe-8d19-2f00fee785e0-0,ENSMUSG00000035242,1.0,4,0,2,0,0,1,5,1.0,3,1,2,3,0,2,0,0,1,4,1,1,9.955141140655154,grey
18,0.8180024390538952,5.737747154161806,4.91974471510791,3185.0863687713336,4.453564283085608,4146.770043814123,1.0,0.0,ENSMUST00000078432,ENSMUSG00000030432,0.0,4,0,0,0,0,1,2,0.0,2,1,1,0,0,0,0,0,1,1,1,0,11.637116778684844,red
34,2.2822305498389976,8.737127842682,6.454897292843004,25786.44669963272,2.625043012006485,40354.92452298985,1.0,0.0,ENSMUST00000177163,ENSMUSG00000093674,0.15,6,1,2,0,0,0,0,0.0,1,1,1,2,1,1,0,0,0,0,1,0,14.654325367023247,red
40,0.4782746989942847,7.495948546945645,7.017673847951353,106739.54412591996,9.132534725426508,179493.77264164484,1.0,0.0,ea6ced92-535c-4180-b5d1-bf033b28c0b4-0,ENSMUSG00000035242,1.0,4,0,2,0,0,2,5,0.3821428571428571,3,1,2,3,0,2,0,0,2,3,1,1,16.703735229280408,red
9,0.6813788844188362,7.337552302627108,6.656173418208278,156589.78220322682,6.204803896266248,91336.73889108312,1.0,0.0,7b8f91ce-a620-4bad-ae39-d9eaf7e058b4-0,ENSMUSG00000035242,1.0,4,0,2,0,0,1,5,1.0,3,1,2,3,0,2,0,0,1,4,1,1,17.256630551397386,red
8,0.5522667011420118,7.437967887732824,6.885701186590807,605901.6252825521,2.549066320987579,80650.07953230382,1.0,0.0,78dba357-9b8f-49fb-baf8-48bdda4dffdb-0,ENSMUSG00000035242,1.0,4,0,2,0,0,2,5,1.0,3,1,2,3,0,2,0,0,2,3,1,1,19.208724049920686,red
6,1.4413741878388302,8.794583270388165,7.353209082549344,3558086.543944245,4.406589518934551,165614.5143729149,1.0,0.0,2df9e4b1-1a64-498e-a486-e156770aaeec-0,ENSMUSG00000035242,1.0,4,0,2,0,0,1,5,1.0,3,1,2,3,0,2,0,0,1,4,1,1,21.762670171272898,red
