,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change,log2_fold_change_mean,color
16,2.2617870513550637,0.7753010635695482,-1.486485987785515,0.2829778484607383,0.0257630324237869,0.6436598433792212,0.005,0.995,ENSMUST00000002518,ENSMUSG00000054452,0.0,6,2,2,0,0,1,3,1.0,2,0,1,0,2,0,0,0,1,2,0,1,-1.821238971747671,-1.821238971747671,blue
71,0.9712774718748034,0.3127818376051922,-0.6584956342696117,0.5416546229615066,0.2445542123630303,0.8229196994650231,0.0025,0.9975,ENSMUST00000168166-0,ENSMUSG00000007656,0.0,3,0,0,2,2,1,4,0.0,2,0,0,0,0,0,2,0,1,3,0,0,-0.8845548605866083,-0.8845548605866083,blue
53,0.9577994851742372,0.3097494198676544,-0.6480500653065835,0.5462423927427484,0.262959250171529,0.8550670829996772,0.0025,0.9975,ENSMUST00000108275-0,ENSMUSG00000001105,0.7321428571428571,4,0,1,0,0,1,6,1.0,3,0,3,2,0,1,0,0,1,5,0,3,-0.8723868118599071,-0.8723868118599071,blue
52,0.9628757540440273,0.3015927873759558,-0.6612829666680713,0.546309149351353,0.1851265740222749,0.8564278280267519,0.005,0.995,ENSMUST00000105465,ENSMUSG00000004207,0.0,2,0,1,1,1,1,15,0.0,2,0,0,0,0,1,1,0,1,14,0,0,-0.8722105100112718,-0.8722105100112718,blue
43,0.9735645419163818,0.3118457750520538,-0.66171876686433,0.5463564926244258,0.2409959612717766,0.8881901026751662,0.01,0.99,ENSMUST00000070850,ENSMUSG00000056612,0.0,5,1,1,1,1,1,1,1.0,2,0,0,0,1,0,1,0,1,0,0,0,-0.8720854911533515,-0.8720854911533515,blue
65,0.9688273558296504,0.3044727252974746,-0.6643546305321754,0.5481858778737404,0.1708258409414294,0.8697440085293164,0.0025,0.9975,ENSMUST00000135454-0,ENSMUSG00000028608,0.0,3,0,1,1,1,1,1,1.0,2,0,0,0,0,1,1,0,1,0,0,0,-0.8672629323273797,-0.8672629323273797,blue
13,0.9421585328704178,0.3003478124406233,-0.6418107204297929,0.5517012167613892,0.2836040679072615,0.8788115590746064,0.0025,0.9975,ENSMUST00000002112,ENSMUSG00000002043,0.9640718562874252,4,1,1,0,0,1,6,0.0,1,0,0,1,1,0,0,0,1,5,0,0,-0.8580409325898442,-0.8580409325898442,blue
72,0.922677438900491,0.2992888838196261,-0.6233885550808654,0.5592527884147124,0.2574095472714273,0.8391252538080667,0.0075,0.9925,ENSMUST00000170828,ENSMUSG00000079435,0.7659574468085106,3,0,0,0,0,1,5,0.0,1,0,1,1,0,0,0,0,1,4,0,1,-0.8384275503583574,-0.8384275503583574,blue
58,1.001641093786229,0.4389336052126391,-0.5627074885735892,0.6039605390930469,0.2245066066407421,0.9790631352058357,0.0275,0.9725,ENSMUST00000116304,ENSMUSG00000038642,0.0,1,1,1,0,0,1,7,1.0,2,0,0,0,1,0,0,0,1,6,0,0,-0.7274738034736741,-0.7274738034736741,blue
42,0.97575309619422,0.439794561001797,-0.5359585351924221,0.6185071528407136,0.2709096278924053,1.0153855760139598,0.0375,0.9625,ENSMUST00000066701,ENSMUSG00000064215,0.0,5,2,3,0,0,1,7,1.0,2,0,0,0,2,1,0,0,1,6,0,0,-0.6931378152747951,-0.6931378152747951,grey
