,beta_a_mean,beta_b_mean,difference_mean,fold_change_mean,fold_change_hdi_low,fold_change_hdi_high,p_diff_greater_than_zero,p_diff_less_than_zero,transcript_id,gene_id,ap,apt,ce,cet,a5,a5t,a3,a3t,ae,aet,i,it,promoter_group,ceI,ceE,a5I,a5E,a3I,a3E,iI,iE,log2_fold_change_mean,color
416,7.332603726588239,0.3650738575282964,-6.967529869059941,0.0060537695101959,3.0850223246269214e-08,0.0247327496067446,0.0,1.0,ENSMUST00000026222,ENSMUSG00000025204,0.0,3,0,0,0,1,0,4,1.0,2,0,0,0,0,0,0,1,0,4,0,0,-7.367950537284493,blue
417,7.332603726588239,0.3650738575282964,-6.967529869059941,0.0060537695101959,3.0850223246269214e-08,0.0247327496067446,0.0,1.0,ENSMUST00000026222,ENSMUSG00000025204,0.0,3,0,0,0,1,0,4,1.0,2,0,0,0,0,0,0,1,0,4,0,0,-7.367950537284493,blue
418,7.332603726588239,0.3650738575282964,-6.967529869059941,0.0060537695101959,3.0850223246269214e-08,0.0247327496067446,0.0,1.0,ENSMUST00000026222,ENSMUSG00000025204,0.0,3,0,0,0,1,0,4,1.0,2,0,0,0,0,0,0,1,0,4,0,0,-7.367950537284493,blue
419,7.332603726588239,0.3650738575282964,-6.967529869059941,0.0060537695101959,3.0850223246269214e-08,0.0247327496067446,0.0,1.0,ENSMUST00000026222,ENSMUSG00000025204,0.0,3,0,0,0,1,0,4,1.0,2,0,0,0,0,0,0,1,0,4,0,0,-7.367950537284493,blue
1522,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
1523,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
1526,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
1525,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
1524,7.481795416817437,0.3654931840715549,-7.116302232745876,0.0062438722760809,1.7056263298624303e-08,0.0345071320024699,0.0,1.0,ENSMUST00000237893,ENSMUSG00000060803,0.074074074074074,3,2,2,0,1,0,5,0.0,2,0,0,1,2,0,0,1,0,5,0,0,-7.323343258645007,blue
291,7.366949829545991,0.3563782860942861,-7.010571543451703,0.0062778019545849,7.017720081873494e-08,0.0318308502048152,0.0,1.0,ENSMUST00000019615-0,ENSMUSG00000019471,0.0,1,0,0,0,0,0,6,0.0,1,0,0,0,0,0,0,0,0,6,0,0,-7.315524767631987,blue
