Event Type,Percentage,Count
Alternative Last Exon,6.481481481481481,7
Alternative Exon,50.0,54
Alternative 3′ End,24.074074074074073,26
Intron Retention,0.9259259259259258,1
Alternative 5′ End,18.51851851851852,20
