Event Type,Percentage,Count
Alternative Last Exon,4.320987654320987,14
Alternative Exon,51.85185185185185,168
Alternative 3′ End,26.234567901234566,85
Intron Retention,3.0864197530864197,10
Alternative 5′ End,14.506172839506174,47
