Event Type,Percentage,Count
Alternative Last Exon,66.36500754147812,440
Alternative Exon,15.233785822021115,101
Alternative 3′ End,6.334841628959276,42
Intron Retention,4.223227752639517,28
Alternative 5′ End,7.8431372549019605,52
